system_id,sample_group_id,site_id,sample_group_name,sample_group_description,sampling_context_id,method_id,ProjektNr,Fustel,Befu,GrJahrBefu,Gebäude,okBefu,EVNr
80,,4,11200,,,,22_0005,Göteborg 342,11200,2021,,X,L1960:2928
81,,4,11201,,,,22_0005,Göteborg 342,11201,2021,,X,L1960:2928
82,,4,11221,,,,22_0005,Göteborg 342,11221,2021,,X,L1960:2928
83,,4,12026,,,,22_0005,Göteborg 342,12026,2021,,X,L1960:2928
84,,4,200125,,,,22_0005,Göteborg 342,200125,2021,,X,L1960:2928
85,,4,200149,,,,22_0005,Göteborg 342,200149,2021,,X,L1960:2928
86,,4,200177,,,,22_0005,Göteborg 342,200177,2021,,X,L1960:2928
87,,4,200473,,,,22_0005,Göteborg 342,200473,2021,,X,L1960:2928
88,,4,200475,,,,22_0005,Göteborg 342,200475,2021,,X,L1960:2928
89,,4,23362,,,,22_0005,Göteborg 342,23362,2021,,X,L1960:2928
90,,4,23434,,,,22_0005,Göteborg 342,23434,2021,,X,L1960:2928
91,,4,23491,,,,22_0005,Göteborg 342,23491,2021,,X,L1960:2928
92,,4,23988,,,,22_0005,Göteborg 342,23988,2021,,X,L1960:2928
93,,5,A2076,,,,22_0015,Sandarna Gbg 15:1,A2076,2021,?,X,L1969:1130
94,,5,A2154,,,,22_0015,Sandarna Gbg 15:1,A2154,2021,?,X,L1969:1130
95,,5,A2874 G2976,,,,22_0015,Sandarna Gbg 15:1,A2874 G2976,2021,?,X,L1969:1130
96,,5,A4796,,,,22_0015,Sandarna Gbg 15:1,A4796,2021,?,X,L1969:1130
97,,5,M153 St 1,,,,22_0015,Sandarna Gbg 15:1,M153 St 1,2021,?,X,L1969:1130
98,,5,M153 St 2,,,,22_0015,Sandarna Gbg 15:1,M153 St 2,2021,?,X,L1969:1130
99,,5,M160 St 1,,,,22_0015,Sandarna Gbg 15:1,M160 St 1,2021,no,X,L1969:1130
100,,5,M167 St 1,,,,22_0015,Sandarna Gbg 15:1,M167 St 1,2021,?,X,L1969:1130
101,,5,M167 St 2,,,,22_0015,Sandarna Gbg 15:1,M167 St 2,2021,?,X,L1969:1130
102,,5,M167 St 3,,,,22_0015,Sandarna Gbg 15:1,M167 St 3,2021,?,X,L1969:1130
103,,5,M167 St 4,,,,22_0015,Sandarna Gbg 15:1,M167 St 4,2021,?,X,L1969:1130
104,,5,M32 Undre del,,,,22_0015,Sandarna Gbg 15:1,M32 Undre del,2021,?,X,L1969:1130
105,,5,M32 Övre del,,,,22_0015,Sandarna Gbg 15:1,M32 Övre del,2021,?,X,L1969:1130
106,,5,M99 A5085,,,,22_0015,Sandarna Gbg 15:1,M99 A5085,2021,?,X,L1969:1130
107,,6,31,,,,DanaBunar2,,31,2000,,X,
108,,6,32,,,,DanaBunar2,,32,2000,,X,
109,,6,33,,,,DanaBunar2,,33,2000,,X,
110,,6,37,,,,DanaBunar2,,37,2000,,X,
111,,6,38,,,,DanaBunar2,,38,2000,,X,
112,,6,39,,,,DanaBunar2,,39,2000,,X,
113,,6,41,,,,DanaBunar2,,41,2000,,X,
114,,6,42,,,,DanaBunar2,,42,2000,,X,
115,,6,44,,,,DanaBunar2,,44,2000,,X,
116,,6,46,,,,DanaBunar2,,46,2000,,X,
