system_id,feature_type_id,site_id,feature_type_name,feature_type_description,ProjektNr,Befu,BefuTyp,Fustel,EVNr
83,40,4,Kult,,22_0005,12026,Kult,Göteborg 342,L1960:2928
84,40,4,Kult,,22_0005,200125,Kult,Göteborg 342,L1960:2928
85,40,4,Kult,,22_0005,200149,Kult,Göteborg 342,L1960:2928
86,40,4,Kult,,22_0005,200177,Kult,Göteborg 342,L1960:2928
87,40,4,Kult,,22_0005,200473,Kult,Göteborg 342,L1960:2928
88,40,4,Kult,,22_0005,200475,Kult,Göteborg 342,L1960:2928
89,40,4,Kult,,22_0005,23362,Kult,Göteborg 342,L1960:2928
90,580,4,Bod,,22_0005,23434,Bod,Göteborg 342,L1960:2928
91,580,4,Bod,,22_0005,23491,Bod,Göteborg 342,L1960:2928
92,9,4,Bru,,22_0005,23988,Bru,Göteborg 342,L1960:2928
93,19,5,Her,,22_0015,A2076,Her,Sandarna Gbg 15:1,L1969:1130
94,36,5,Grm,,22_0015,A2154,Grm,Sandarna Gbg 15:1,L1969:1130
95,19,5,Her,,22_0015,A2874 G2976,Her,Sandarna Gbg 15:1,L1969:1130
96,19,5,Her,,22_0015,A4796,Her,Sandarna Gbg 15:1,L1969:1130
97,40,5,Kult,,22_0015,M153 St 1,Kult,Sandarna Gbg 15:1,L1969:1130
98,40,5,Kult,,22_0015,M153 St 2,Kult,Sandarna Gbg 15:1,L1969:1130
99,40,5,Kult,,22_0015,M160 St 1,Kult,Sandarna Gbg 15:1,L1969:1130
100,40,5,Kult,,22_0015,M167 St 1,Kult,Sandarna Gbg 15:1,L1969:1130
101,40,5,Kult,,22_0015,M167 St 2,Kult,Sandarna Gbg 15:1,L1969:1130
102,40,5,Kult,,22_0015,M167 St 3,Kult,Sandarna Gbg 15:1,L1969:1130
103,40,5,Kult,,22_0015,M167 St 4,Kult,Sandarna Gbg 15:1,L1969:1130
104,40,5,Kult,,22_0015,M32 Undre del,Kult,Sandarna Gbg 15:1,L1969:1130
105,40,5,Kult,,22_0015,M32 Övre del,Kult,Sandarna Gbg 15:1,L1969:1130
106,19,5,Her,,22_0015,M99 A5085,Her,Sandarna Gbg 15:1,L1969:1130
107,7,6,Gr,,DanaBunar2,31,Gr,,
108,7,6,Gr,,DanaBunar2,32,Gr,,
109,7,6,Gr,,DanaBunar2,33,Gr,,
110,7,6,Gr,,DanaBunar2,37,Gr,,
111,7,6,Gr,,DanaBunar2,38,Gr,,
112,7,6,Gr,,DanaBunar2,39,Gr,,
113,7,6,Gr,,DanaBunar2,41,Gr,,
114,7,6,Gr,,DanaBunar2,42,Gr,,
115,7,6,Gr,,DanaBunar2,44,Gr,,
116,7,6,Gr,,DanaBunar2,46,Gr,,
117,7,6,Gr,,DanaBunar2,47,Gr,,
118,7,6,Gr,,DanaBunar2,55,Gr,,
119,7,6,Gr,,DanaBunar2,58,Gr,,
120,7,6,Gr,,DanaBunar2,64,Gr,,
121,14,7,KultLauf,,Iswid,2709_fond,KultLauf,ISW,
122,14,7,KultLauf,,Iswid,2905 fond,KultLauf,ISW,
123,26,7,Pfo,,Iswid,2913 fond,Pfo,ISW,
124,14,7,KultLauf,,Iswid,foyer 2174,KultLauf,ISW,
125,37,7,Of,,Iswid,US 10503,Of,ISW,
126,14,7,KultLauf,,Iswid,US 10521,KultLauf,ISW,
127,14,7,KultLauf,,Iswid,US 10534,KultLauf,ISW,
128,14,7,KultLauf,,Iswid,US 10610,KultLauf,ISW,
129,14,7,KultLauf,,Iswid,US 11004,KultLauf,ISW,
130,14,7,KultLauf,,Iswid,US 11012,KultLauf,ISW,
131,14,7,KultLauf,,Iswid,US 11067,KultLauf,ISW,
132,14,7,KultLauf,,Iswid,US 12025,KultLauf,ISW,
133,14,7,KultLauf,,Iswid,US 12040,KultLauf,ISW,
134,14,7,KultLauf,,Iswid,US 12047,KultLauf,ISW,
135,14,7,KultLauf,,Iswid,US 12504,KultLauf,ISW,
136,37,7,Of,,Iswid,US 13017,Of,ISW,
137,27,7,,,Iswid,US 13065,,ISW,
138,37,7,Of,,Iswid,US 13066,Of,ISW,
139,27,7,,,Iswid,US 13083,,ISW,
140,27,7,BefuTyp?,,Iswid,US 13099,BefuTyp?,ISW,
141,37,7,Of,,Iswid,US 13145,Of,ISW,
142,27,7,,,Iswid,US 13516,,ISW,
143,27,7,,,Iswid,US 13526,,ISW,
144,27,7,,,Iswid,US 13572,,ISW,
145,27,7,,,Iswid,US 13610,,ISW,
146,27,7,,,Iswid,US 13632,,ISW,
147,27,7,,,Iswid,US 13639,,ISW,
148,27,7,,,Iswid,US 13657,,ISW,
149,27,7,,,Iswid,US 13705,,ISW,
150,27,7,,,Iswid,US 13791,,ISW,
151,27,7,,,Iswid,US 13791 (3),,ISW,
152,27,7,,,Iswid,US 13802,,ISW,
153,27,7,,,Iswid,US 13971,,ISW,
154,14,7,KultLauf,,Iswid,US 14021,KultLauf,ISW,
155,27,7,BefuTyp?,,Iswid,US 14038,BefuTyp?,ISW,
156,7,7,Gr,,Iswid,US 14050,Gr,ISW,
157,37,7,Of,,Iswid,US 14078,Of,ISW,
158,27,7,BefuTyp?,,Iswid,US 14131,BefuTyp?,ISW,
159,27,7,,,Iswid,US 14158,,ISW,
160,27,7,BefuTyp?,,Iswid,US 14418,BefuTyp?,ISW,
