system_id,dating_id,sample_id,ArchDat,Befu,ChronoDat,ProbNr,ProjektNr
105,,105,ScanFörMod,23362,,22_0005_0010,22_0005
106,,106,ScanFörMod,23434,,22_0005_0007,22_0005
107,,107,ScanFörMod,23491,,22_0005_0008,22_0005
108,,108,ScanFörMod,23988,,22_0005_0011,22_0005
109,,109,ScanMesSen,A2076,,22_0015_0017,22_0015
110,,110,ScanBronsYn4,A2154,,22_0015_0020,22_0015
111,,111,ScanMesMel,A2874 G2976,,22_0015_0014,22_0015
112,,112,ScanMesMel,A4796,,22_0015_0013,22_0015
113,,113,ScanMesMel,M153 St 1,,22_0015_0006,22_0015
114,,114,ScanMesMel,M153 St 2,,22_0015_0007,22_0015
115,,115,ScanMesMel,M160 St 1,,22_0015_0001,22_0015
116,,116,ScanMesMel,M167 St 1,,22_0015_0002,22_0015
117,,117,ScanMesMel,M167 St 2,,22_0015_0003,22_0015
118,,118,ScanMesMel,M167 St 3,,22_0015_0004,22_0015
119,,119,ScanMesMel,M167 St 4,,22_0015_0005,22_0015
120,,120,ScanMesMel,M32 Undre del,,2022_0015_0009,22_0015
121,,121,ScanMesMel,M32 Övre del,,2022_0015_0008,22_0015
122,,122,ScanMesMel,M99 A5085,,2022_0015_0010,22_0015
123,,123,ScanMesMel,M99 A5085,,2022_0015_0012,22_0015
124,,124,LIA BG,31,,17 depth 0.10-0.20,DanaBunar2
125,,125,LIA BG,31,,17a depth 0.00-0.20,DanaBunar2
126,,126,Lan,32,,51 depth 0.00-0.10,DanaBunar2
127,,127,Lan,32,,52 depth 0.10-0.20,DanaBunar2
128,,128,Lan,32,,53 depth 0.00-0.10,DanaBunar2
129,,129,Lan,33,,18 depth 0.20-0.30,DanaBunar2
130,,130,Lan,33,,19 depth 0.00-0.10,DanaBunar2
131,,131,Lan,33,,20 depth 0.10-0.30,DanaBunar2
132,,132,Lan,33,,21 depth 0.30-0.40,DanaBunar2
133,,133,Lan,33,,22 depth 0.20-0.30,DanaBunar2
134,,134,LIA BG,37,,39 depth 0.10-0.20,DanaBunar2
135,,135,LIA BG,37,,40 depth 0.20-0.30,DanaBunar2
136,,136,LIA BG,37,,41 depth 0.00-0.10,DanaBunar2
137,,137,LIA BG,37,,42 depth 0.00-0.10,DanaBunar2
138,,138,LIA BG,38,,1 depth 0.48-0.58,DanaBunar2
139,,139,LIA BG,38,,2 depth 0.35-0.45,DanaBunar2
140,,140,LIA BG,38,,3 depth 0.35-0.45,DanaBunar2
141,,141,LIA BG,38,,4 depth 0.00-0.10,DanaBunar2
142,,142,LIA BG,38,,5 depth 0.30-0.50,DanaBunar2
143,,143,LIA BG,39,,47 depth 0.00-0.10,DanaBunar2
144,,144,LIA BG,39,,48 depth 0.10-0.20,DanaBunar2
145,,145,Lan,41,,44 depth 0.00-0.10,DanaBunar2
146,,146,Lan,41,,46 depth 0.30-0.40,DanaBunar2
147,,147,LIA BG,42,,10 depth 0.10-0.20,DanaBunar2
148,,148,LIA BG,42,,6 depth 0.00-0.10,DanaBunar2
149,,149,LIA BG,42,,7 depth 0.00-0.10,DanaBunar2
150,,150,LIA BG,42,,8 depth 0.10-0.20,DanaBunar2
151,,151,LIA BG,42,,9 depth 0.10-0.20,DanaBunar2
152,,152,LIA BG,44,,87 depth 0.06-0.16,DanaBunar2
153,,153,LIA BG,44,,88 depth 0.20-0.30,DanaBunar2
154,,154,LIA BG,44,,89 depth 0.30-0.40,DanaBunar2
155,,155,LIA BG,44,,90 depth 0.16-0.26,DanaBunar2
156,,156,LIA BG,44,,91 depth 0.10-0.20,DanaBunar2
157,,157,LIA BG,44,,92 depth 0.00-0.10,DanaBunar2
158,,158,LIA BG,44,,93 depth 0.30-0.40,DanaBunar2
159,,159,LIA BG,46,,30 depth 0.60-0.70,DanaBunar2
160,,160,LIA BG,46,,31 depth 0.50-0.60,DanaBunar2
161,,161,LIA BG,46,,32 depth 0.60-0.70,DanaBunar2
162,,162,LIA BG,46,,33 depth 0.30-0.40,DanaBunar2
163,,163,LIA BG,46,,34 depth 0.40-0.50,DanaBunar2
164,,164,LIA BG,46,,35 depth 0.30-0.40,DanaBunar2
165,,165,Lan,47,,49 depth 0.10-0.20,DanaBunar2
166,,166,Lan,47,,50 depth 0.10-0.20,DanaBunar2
167,,167,Lan,55,,54 depth 1.00-1.10,DanaBunar2
168,,168,Lan,55,,55 depth 1.00-1.10,DanaBunar2
169,,169,LBA BG,58,,23 depth 0.10-0.20,DanaBunar2
170,,170,LBA BG,58,,24 depth 0.30-0.40,DanaBunar2
171,,171,LBA BG,58,,25 depth 0.00-0.10,DanaBunar2
172,,172,LBA BG,58,,26 depth 0.10-0.20,DanaBunar2
173,,173,LBA BG,58,,27 depth 0.30-0.40,DanaBunar2
174,,174,LBA BG,58,,28 depth 0.20-0.30,DanaBunar2
175,,175,LIA BG,64,,11 depth 0.10-0.20,DanaBunar2
176,,176,LIA BG,64,,12 depth 0.36-0.46,DanaBunar2
177,,177,LIA BG,64,,13 depth 0.26-0.36,DanaBunar2
178,,178,LIA BG,64,,16 depth 0.48-0.58,DanaBunar2
179,,179,Buto2,2709_fond,,Isw 2013/32,Iswid
180,,180,Buto2,2905 fond,,Isw 2013/26,Iswid
181,,181,Buto2,2913 fond,,Isw 2013/33,Iswid
182,,182,NAGD3,foyer 2174,,Isw 2013/15,Iswid
183,,183,NAGD3,US 10503,,Isw 2013/8,Iswid
184,,184,Buto2,US 10521,,Isw 2013/20,Iswid
185,,185,Buto2,US 10534,,Isw 2013/21,Iswid
186,,186,NAGD3,US 10610,,Isw 2013/25,Iswid
187,,187,Buto2,US 11004,,Isw 2013/22,Iswid
188,,188,NAGD3,US 11012,,Isw 2013/27,Iswid
189,,189,Buto2,US 11067,,Isw 2013/28,Iswid
190,,190,Buto2,US 12025,,Isw 2013/25,Iswid
191,,191,Buto2,US 12040,,Isw 2013/29,Iswid
192,,192,Buto2,US 12047,,Isw 2013/30,Iswid
193,,193,Buto2,US 12504,,Isw 2013/31,Iswid
194,,194,NAGD3,US 13017,,Isw 2015/18,Iswid
195,,195,NAGD3,US 13017,,Isw 2016/41,Iswid
196,,196,NAGD3,US 13065,,Isw 2015/25,Iswid
197,,197,NAGD3,US 13066,,Isw 2015/4,Iswid
198,,198,NGD3 AB,US 13083,,Isw 2015/22,Iswid
199,,199,NGD3 AB,US 13099,,Isw 2015/9,Iswid
200,,200,NAGD3,US 13145,,Isw 2015/21,Iswid
201,,201,Buto,US 13516,,Isw 2015/8,Iswid
202,,202,Buto,US 13526,,Isw 2015/2,Iswid
203,,203,Buto,US 13572,,Isw 2015/12,Iswid
204,,204,Buto,US 13610,,Isw 2015/11,Iswid
205,,205,Buto,US 13632,,Isw 2016/15,Iswid
206,,206,Buto,US 13639,,Isw2015/26,Iswid
207,,207,Buto,US 13657,,Isw 2015/17,Iswid
208,,208,Buto,US 13705,,Isw 2015/10,Iswid
209,,209,Buto,US 13791,,Isw 2015/5,Iswid
210,,210,Buto,US 13791 (3),,Isw 2015/7,Iswid
211,,211,Buto,US 13802,,Isw 2015/20,Iswid
212,,212,Buto,US 13971,,Isw 2015/7,Iswid
213,,213,NAGD3,US 14021,,Isw 2015/1,Iswid
214,,214,NAGD3,US 14038,,Isw 2015/3,Iswid
215,,215,NAGD3,US 14050,,Isw 2015/24,Iswid
216,,216,NGD3 AB,US 14078,,Isw 2916/23,Iswid
217,,217,NAGD3,US 14131,,Isw 2015/13,Iswid
218,,218,NAGD3,US 14131,,Isw 2016/12,Iswid
219,,219,Buto,US 14158,,Isw 2015/14,Iswid
220,,220,NAGD3,US 14418,,Isw 2016/34,Iswid
221,,221,Buto2,US 14495,,Isw 16/37,Iswid
222,,222,Buto,US 14509,,16-Jan,Iswid
223,,223,Buto2,US 14636,,Isw 16/35,Iswid
224,,224,OK 5/6,US 15067,,Isw 2017/7,Iswid
225,,225,NAGD3,US 15071,,Isw 17/4,Iswid
226,,226,NAGD3,US 15108,,Isw 17/1,Iswid
227,,227,NAGD3,US 15140,,Isw17/26,Iswid
228,,228,Buto,US 16183,,Isw 2017/8,Iswid
229,,229,Buto1,US 16287_F4185 (TR.),,Isw 17/23,Iswid
230,,230,Buto1,US 16323_F4199(foye,,Isw 17/29,Iswid
231,,231,NGD3 CD,US 6712,,Isw 2013/13,Iswid
232,,232,NGD3 CD,US 6773,,Isw 2013/7,Iswid
233,,233,NGD3 CD,US 6803,,Isw 2013/10,Iswid
234,,234,NGD3 CD,US 6810,,Isw 2013/5,Iswid
235,,235,Buto2,US 6827,,Isw 2013/2,Iswid
236,,236,Buto2,US 6854,,Isw 2013/4,Iswid
237,,237,NGD3 AB,US 6863,,Isw 2013/12,Iswid
238,,238,Buto2,US 6875,,Isw 2013/14,Iswid
239,,239,NGD3 AB,US 9036,,Isw 2013/3,Iswid
240,,240,NGD3 AB,US 9200,,Isw 2013/1,Iswid
241,,241,NAGD3,US 9321,,Isw 2013/6,Iswid
242,,242,NAGD3,US 9404_foyer 2093,,Isw 2013/17,Iswid
243,,243,NGD3 CD,US 9519,,Isw 2013/11,Iswid
244,,244,NAGD3,US 9859/9860,,Isw 2013/16,Iswid
245,,245,NAGD3,US 9870_foyer2163,,1,Iswid
246,,246,NAGD3,US 9880_foyer 2166,,Isw 2013/19,Iswid
