system_id,sample_coordinate_id,ProjektNr,Befu,ProbNr,coordinate_type,coordinate_value
110,,22_0015,A2154,22_0015_0020,KoordX,
111,,22_0015,A2874 G2976,22_0015_0014,KoordX,
112,,22_0015,A4796,22_0015_0013,KoordX,
113,,22_0015,M153 St 1,22_0015_0006,KoordX,
114,,22_0015,M153 St 2,22_0015_0007,KoordX,
115,,22_0015,M160 St 1,22_0015_0001,KoordX,
116,,22_0015,M167 St 1,22_0015_0002,KoordX,
117,,22_0015,M167 St 2,22_0015_0003,KoordX,
118,,22_0015,M167 St 3,22_0015_0004,KoordX,
119,,22_0015,M167 St 4,22_0015_0005,KoordX,
120,,22_0015,M32 Undre del,2022_0015_0009,KoordX,
121,,22_0015,M32 Övre del,2022_0015_0008,KoordX,
122,,22_0015,M99 A5085,2022_0015_0010,KoordX,
123,,22_0015,M99 A5085,2022_0015_0012,KoordX,
124,,DanaBunar2,31,17 depth 0.10-0.20,KoordX,0.0
125,,DanaBunar2,31,17a depth 0.00-0.20,KoordX,0.0
126,,DanaBunar2,32,51 depth 0.00-0.10,KoordX,0.0
127,,DanaBunar2,32,52 depth 0.10-0.20,KoordX,0.0
128,,DanaBunar2,32,53 depth 0.00-0.10,KoordX,0.0
129,,DanaBunar2,33,18 depth 0.20-0.30,KoordX,0.0
130,,DanaBunar2,33,19 depth 0.00-0.10,KoordX,0.0
131,,DanaBunar2,33,20 depth 0.10-0.30,KoordX,0.0
132,,DanaBunar2,33,21 depth 0.30-0.40,KoordX,0.0
133,,DanaBunar2,33,22 depth 0.20-0.30,KoordX,0.0
134,,DanaBunar2,37,39 depth 0.10-0.20,KoordX,0.0
135,,DanaBunar2,37,40 depth 0.20-0.30,KoordX,0.0
136,,DanaBunar2,37,41 depth 0.00-0.10,KoordX,0.0
137,,DanaBunar2,37,42 depth 0.00-0.10,KoordX,0.0
138,,DanaBunar2,38,1 depth 0.48-0.58,KoordX,0.0
139,,DanaBunar2,38,2 depth 0.35-0.45,KoordX,0.0
140,,DanaBunar2,38,3 depth 0.35-0.45,KoordX,0.0
141,,DanaBunar2,38,4 depth 0.00-0.10,KoordX,0.0
142,,DanaBunar2,38,5 depth 0.30-0.50,KoordX,0.0
143,,DanaBunar2,39,47 depth 0.00-0.10,KoordX,0.0
144,,DanaBunar2,39,48 depth 0.10-0.20,KoordX,0.0
145,,DanaBunar2,41,44 depth 0.00-0.10,KoordX,0.0
