system_id,sample_chronological_period_id,chronological_period_id,sample_id,taxon_id,BNam,Befu,ChronoDat,ChronoDat Beschreibung,ProbNr,ProjektNr,TaxAut
78,,1,4,14,Polygonum lapathifolium/persicaria,P5,,,18_0025_0001,18_0025,L./L.
79,,1,4,41,Prunus spec.,P5,,,18_0025_0001,18_0025,L.
80,,1,4,16,Ranunculus spec.,P5,,,18_0025_0001,18_0025,L.
81,,1,4,17,Rubus idaeus,P5,,,18_0025_0001,18_0025,L.
82,,1,4,19,Solanum spec.,P5,,,18_0025_0001,18_0025,L.
83,,1,4,22,Stellaria media,P5,,,18_0025_0001,18_0025,
84,,1,5,25,Alnus glutinosa/incana,P6,,,18_0025_0002,18_0025,
85,,1,5,2,Alnus spec.,P6,,,18_0025_0002,18_0025,Gaertn.
86,,1,5,3,Apiaceae,P6,,,18_0025_0002,18_0025,
87,,1,5,4,Atriplex spec.,P6,,,18_0025_0002,18_0025,L.
88,,1,5,26,Bidens tripartita,P6,,,18_0025_0002,18_0025,L.
89,,1,5,35,Carex spec.,P6,,,18_0025_0002,18_0025,
90,,1,5,6,Chenopodium album,P6,,,18_0025_0002,18_0025,L.
91,,1,5,8,Galeopsis spec.,P6,,,18_0025_0002,18_0025,L.
92,,1,5,9,Glechoma hederacea,P6,,,18_0025_0002,18_0025,L.
93,,1,5,10,Eleocharis,P6,,,18_0025_0002,18_0025,
94,,1,5,13,Polygonum convolvulus,P6,,,18_0025_0002,18_0025,(L.) A. Löve
95,,1,5,14,Polygonum lapathifolium/persicaria,P6,,,18_0025_0002,18_0025,L./L.
96,,1,5,15,Prunus padus,P6,,,18_0025_0002,18_0025,L.
97,,1,5,16,Ranunculus spec.,P6,,,18_0025_0002,18_0025,L.
98,,1,5,42,Rumex crispus,P6,,,18_0025_0002,18_0025,L.
99,,1,5,17,Rubus idaeus,P6,,,18_0025_0002,18_0025,L.
100,,1,5,32,Silene dioica,P6,,,18_0025_0002,18_0025,(L.) Clairv.
101,,1,5,19,Solanum spec.,P6,,,18_0025_0002,18_0025,L.
102,,1,5,21,Stellaria graminea,P6,,,18_0025_0002,18_0025,L.
103,,1,5,24,Urtica dioica,P6,,,18_0025_0002,18_0025,L.
104,,1,6,43,Avena sativa,A11148,,,19_0013_0013,19_0013,L.
105,,1,6,35,Carex spec.,A11148,,,19_0013_0013,19_0013,
106,,1,6,44,Cerealia indet.,A11148,,,19_0013_0013,19_0013,
107,,1,6,6,Chenopodium album,A11148,,,19_0013_0013,19_0013,L.
108,,1,6,45,Galium spurium,A11148,,,19_0013_0013,19_0013,L.
109,,1,6,46,Hordeum distichon/vulgare,A11148,,,19_0013_0013,19_0013,L./L.
110,,1,6,47,Hordeum distichon/vulgare Nacktgerste,A11148,,,19_0013_0013,19_0013,
111,,1,6,48,Hordeum distichon/vulgare Spelzgerste,A11148,,,19_0013_0013,19_0013,
112,,1,6,36,Indeterminata,A11148,,,19_0013_0013,19_0013,
113,,1,6,49,Lamium spec.,A11148,,,19_0013_0013,19_0013,L.
114,,1,6,50,Polygonum lapathifolium agg.,A11148,,,19_0013_0013,19_0013,L.
115,,1,6,13,Polygonum convolvulus,A11148,,,19_0013_0013,19_0013,(L.) A. Löve
116,,1,6,18,Silene spec.,A11148,,,19_0013_0013,19_0013,L.
117,,1,6,20,Spergula arvensis,A11148,,,19_0013_0013,19_0013,L.
118,,1,6,21,Stellaria graminea,A11148,,,19_0013_0013,19_0013,L.
119,,1,6,22,Stellaria media,A11148,,,19_0013_0013,19_0013,
120,,1,7,43,Avena sativa,A11148,,,19_0013_0014,19_0013,L.
121,,1,7,35,Carex spec.,A11148,,,19_0013_0014,19_0013,
122,,1,7,51,Carex spec. tricarpellat,A11148,,,19_0013_0014,19_0013,
123,,1,7,44,Cerealia indet.,A11148,,,19_0013_0014,19_0013,
124,,1,7,6,Chenopodium album,A11148,,,19_0013_0014,19_0013,L.
125,,1,7,27,Corylus avellana,A11148,,,19_0013_0014,19_0013,L.
126,,1,7,8,Galeopsis spec.,A11148,,,19_0013_0014,19_0013,L.
127,,1,7,45,Galium spurium,A11148,,,19_0013_0014,19_0013,L.
