system_id,sample_archaeological_period_id,archaeological_period_id,sample_id,taxon_id,ArchDat,ArchDat_Beschreibung,BNam,Befu,ProbNr,ProjektNr,TaxAut
51,,2,3,36,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Indeterminata,P20,18_0025_0005,18_0025,
52,,2,3,12,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Polygonum aviculare agg.,P20,18_0025_0005,18_0025,
53,,2,3,13,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Polygonum convolvulus,P20,18_0025_0005,18_0025,(L.) A. Löve
54,,2,3,14,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Polygonum lapathifolium/persicaria,P20,18_0025_0005,18_0025,L./L.
55,,2,3,16,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Ranunculus spec.,P20,18_0025_0005,18_0025,L.
56,,2,3,17,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Rubus idaeus,P20,18_0025_0005,18_0025,L.
57,,2,3,31,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Scirpus sylvaticus,P20,18_0025_0005,18_0025,L.
58,,2,3,32,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Silene dioica,P20,18_0025_0005,18_0025,(L.) Clairv.
59,,2,3,19,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Solanum spec.,P20,18_0025_0005,18_0025,L.
60,,2,3,37,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Sparganium,P20,18_0025_0005,18_0025,
61,,2,3,21,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Stellaria graminea,P20,18_0025_0005,18_0025,L.
62,,2,3,22,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Stellaria media,P20,18_0025_0005,18_0025,
63,,2,3,23,ScanBrons,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),Torilis japonica,P20,18_0025_0005,18_0025,(Houtt.) DC.
64,,1,4,2,ScanBronsYn4,Period IV 1100 – 900,Alnus spec.,P5,18_0025_0001,18_0025,Gaertn.
65,,1,4,4,ScanBronsYn4,Period IV 1100 – 900,Atriplex spec.,P5,18_0025_0001,18_0025,L.
66,,1,4,38,ScanBronsYn4,Period IV 1100 – 900,Betula,P5,18_0025_0001,18_0025,
67,,1,4,26,ScanBronsYn4,Period IV 1100 – 900,Bidens tripartita,P5,18_0025_0001,18_0025,L.
68,,1,4,6,ScanBronsYn4,Period IV 1100 – 900,Chenopodium album,P5,18_0025_0001,18_0025,L.
69,,1,4,27,ScanBronsYn4,Period IV 1100 – 900,Corylus avellana,P5,18_0025_0001,18_0025,L.
70,,1,4,39,ScanBronsYn4,Period IV 1100 – 900,Fraxinus spec.,P5,18_0025_0001,18_0025,
71,,1,4,8,ScanBronsYn4,Period IV 1100 – 900,Galeopsis spec.,P5,18_0025_0001,18_0025,L.
72,,1,4,10,ScanBronsYn4,Period IV 1100 – 900,Eleocharis,P5,18_0025_0001,18_0025,
73,,1,4,36,ScanBronsYn4,Period IV 1100 – 900,Indeterminata,P5,18_0025_0001,18_0025,
74,,1,4,40,ScanBronsYn4,Period IV 1100 – 900,Pinus spec.,P5,18_0025_0001,18_0025,L.
75,,1,4,11,ScanBronsYn4,Period IV 1100 – 900,Plantago major s.l.,P5,18_0025_0001,18_0025,L.
76,,1,4,12,ScanBronsYn4,Period IV 1100 – 900,Polygonum aviculare agg.,P5,18_0025_0001,18_0025,
77,,1,4,13,ScanBronsYn4,Period IV 1100 – 900,Polygonum convolvulus,P5,18_0025_0001,18_0025,(L.) A. Löve
78,,1,4,14,ScanBronsYn4,Period IV 1100 – 900,Polygonum lapathifolium/persicaria,P5,18_0025_0001,18_0025,L./L.
79,,1,4,41,ScanBronsYn4,Period IV 1100 – 900,Prunus spec.,P5,18_0025_0001,18_0025,L.
80,,1,4,16,ScanBronsYn4,Period IV 1100 – 900,Ranunculus spec.,P5,18_0025_0001,18_0025,L.
81,,1,4,17,ScanBronsYn4,Period IV 1100 – 900,Rubus idaeus,P5,18_0025_0001,18_0025,L.
82,,1,4,19,ScanBronsYn4,Period IV 1100 – 900,Solanum spec.,P5,18_0025_0001,18_0025,L.
83,,1,4,22,ScanBronsYn4,Period IV 1100 – 900,Stellaria media,P5,18_0025_0001,18_0025,
84,,1,5,25,ScanBronsYn4,Period IV 1100 – 900,Alnus glutinosa/incana,P6,18_0025_0002,18_0025,
85,,1,5,2,ScanBronsYn4,Period IV 1100 – 900,Alnus spec.,P6,18_0025_0002,18_0025,Gaertn.
86,,1,5,3,ScanBronsYn4,Period IV 1100 – 900,Apiaceae,P6,18_0025_0002,18_0025,
87,,1,5,4,ScanBronsYn4,Period IV 1100 – 900,Atriplex spec.,P6,18_0025_0002,18_0025,L.
88,,1,5,26,ScanBronsYn4,Period IV 1100 – 900,Bidens tripartita,P6,18_0025_0002,18_0025,L.
89,,1,5,35,ScanBronsYn4,Period IV 1100 – 900,Carex spec.,P6,18_0025_0002,18_0025,
90,,1,5,6,ScanBronsYn4,Period IV 1100 – 900,Chenopodium album,P6,18_0025_0002,18_0025,L.
91,,1,5,8,ScanBronsYn4,Period IV 1100 – 900,Galeopsis spec.,P6,18_0025_0002,18_0025,L.
92,,1,5,9,ScanBronsYn4,Period IV 1100 – 900,Glechoma hederacea,P6,18_0025_0002,18_0025,L.
93,,1,5,10,ScanBronsYn4,Period IV 1100 – 900,Eleocharis,P6,18_0025_0002,18_0025,
94,,1,5,13,ScanBronsYn4,Period IV 1100 – 900,Polygonum convolvulus,P6,18_0025_0002,18_0025,(L.) A. Löve
95,,1,5,14,ScanBronsYn4,Period IV 1100 – 900,Polygonum lapathifolium/persicaria,P6,18_0025_0002,18_0025,L./L.
96,,1,5,15,ScanBronsYn4,Period IV 1100 – 900,Prunus padus,P6,18_0025_0002,18_0025,L.
97,,1,5,16,ScanBronsYn4,Period IV 1100 – 900,Ranunculus spec.,P6,18_0025_0002,18_0025,L.
98,,1,5,42,ScanBronsYn4,Period IV 1100 – 900,Rumex crispus,P6,18_0025_0002,18_0025,L.
99,,1,5,17,ScanBronsYn4,Period IV 1100 – 900,Rubus idaeus,P6,18_0025_0002,18_0025,L.
100,,1,5,32,ScanBronsYn4,Period IV 1100 – 900,Silene dioica,P6,18_0025_0002,18_0025,(L.) Clairv.
101,,1,5,19,ScanBronsYn4,Period IV 1100 – 900,Solanum spec.,P6,18_0025_0002,18_0025,L.
102,,1,5,21,ScanBronsYn4,Period IV 1100 – 900,Stellaria graminea,P6,18_0025_0002,18_0025,L.
103,,1,5,24,ScanBronsYn4,Period IV 1100 – 900,Urtica dioica,P6,18_0025_0002,18_0025,L.
104,,3,6,43,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Avena sativa,A11148,19_0013_0013,19_0013,L.
105,,3,6,35,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec.,A11148,19_0013_0013,19_0013,
106,,3,6,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A11148,19_0013_0013,19_0013,
107,,3,6,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A11148,19_0013_0013,19_0013,L.
