system_id,feature_id,feature_type_id,site_id,Befu,BefuTyp,EVNr,Fustel,ProjektNr
94,,94,5,A2154,Grm,L1969:1130,Sandarna Gbg 15:1,22_0015
95,,95,5,A2874 G2976,Her,L1969:1130,Sandarna Gbg 15:1,22_0015
96,,96,5,A4796,Her,L1969:1130,Sandarna Gbg 15:1,22_0015
97,,97,5,M153 St 1,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
98,,98,5,M153 St 2,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
99,,99,5,M160 St 1,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
100,,100,5,M167 St 1,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
101,,101,5,M167 St 2,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
102,,102,5,M167 St 3,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
103,,103,5,M167 St 4,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
104,,104,5,M32 Undre del,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
105,,105,5,M32 Övre del,Kult,L1969:1130,Sandarna Gbg 15:1,22_0015
106,,106,5,M99 A5085,Her,L1969:1130,Sandarna Gbg 15:1,22_0015
107,,107,6,31,Gr,,,DanaBunar2
108,,108,6,32,Gr,,,DanaBunar2
109,,109,6,33,Gr,,,DanaBunar2
110,,110,6,37,Gr,,,DanaBunar2
111,,111,6,38,Gr,,,DanaBunar2
112,,112,6,39,Gr,,,DanaBunar2
113,,113,6,41,Gr,,,DanaBunar2
114,,114,6,42,Gr,,,DanaBunar2
115,,115,6,44,Gr,,,DanaBunar2
116,,116,6,46,Gr,,,DanaBunar2
117,,117,6,47,Gr,,,DanaBunar2
118,,118,6,55,Gr,,,DanaBunar2
119,,119,6,58,Gr,,,DanaBunar2
120,,120,6,64,Gr,,,DanaBunar2
121,,121,7,2709_fond,KultLauf,,ISW,Iswid
122,,122,7,2905 fond,KultLauf,,ISW,Iswid
123,,123,7,2913 fond,Pfo,,ISW,Iswid
124,,124,7,foyer 2174,KultLauf,,ISW,Iswid
125,,125,7,US 10503,Of,,ISW,Iswid
126,,126,7,US 10521,KultLauf,,ISW,Iswid
127,,127,7,US 10534,KultLauf,,ISW,Iswid
128,,128,7,US 10610,KultLauf,,ISW,Iswid
129,,129,7,US 11004,KultLauf,,ISW,Iswid
130,,130,7,US 11012,KultLauf,,ISW,Iswid
131,,131,7,US 11067,KultLauf,,ISW,Iswid
132,,132,7,US 12025,KultLauf,,ISW,Iswid
133,,133,7,US 12040,KultLauf,,ISW,Iswid
134,,134,7,US 12047,KultLauf,,ISW,Iswid
135,,135,7,US 12504,KultLauf,,ISW,Iswid
136,,136,7,US 13017,Of,,ISW,Iswid
137,,137,7,US 13065,,,ISW,Iswid
138,,138,7,US 13066,Of,,ISW,Iswid
139,,139,7,US 13083,,,ISW,Iswid
140,,140,7,US 13099,BefuTyp?,,ISW,Iswid
141,,141,7,US 13145,Of,,ISW,Iswid
142,,142,7,US 13516,,,ISW,Iswid
143,,143,7,US 13526,,,ISW,Iswid
144,,144,7,US 13572,,,ISW,Iswid
145,,145,7,US 13610,,,ISW,Iswid
146,,146,7,US 13632,,,ISW,Iswid
147,,147,7,US 13639,,,ISW,Iswid
148,,148,7,US 13657,,,ISW,Iswid
149,,149,7,US 13705,,,ISW,Iswid
150,,150,7,US 13791,,,ISW,Iswid
151,,151,7,US 13791 (3),,,ISW,Iswid
152,,152,7,US 13802,,,ISW,Iswid
153,,153,7,US 13971,,,ISW,Iswid
154,,154,7,US 14021,KultLauf,,ISW,Iswid
155,,155,7,US 14038,BefuTyp?,,ISW,Iswid
156,,156,7,US 14050,Gr,,ISW,Iswid
157,,157,7,US 14078,Of,,ISW,Iswid
158,,158,7,US 14131,BefuTyp?,,ISW,Iswid
159,,159,7,US 14158,,,ISW,Iswid
160,,160,7,US 14418,BefuTyp?,,ISW,Iswid
161,,161,7,US 14495,KultLauf,,ISW,Iswid
162,,162,7,US 14509,Kult,,ISW,Iswid
163,,163,7,US 14636,Pfo,,ISW,Iswid
164,,164,7,US 15067,BefuTyp?,,ISW,Iswid
165,,165,7,US 15071,BefuTyp?,,ISW,Iswid
166,,166,7,US 15108,BefuTyp?,,ISW,Iswid
167,,167,7,US 15140,BefuTyp?,,ISW,Iswid
168,,168,7,US 16183,BefuTyp?,,ISW,Iswid
169,,169,7,US 16287_F4185 (TR.),BefuTyp?,,ISW,Iswid
170,,170,7,US 16323_F4199(foye,BefuTyp?,,ISW,Iswid
171,,171,7,US 6712,KultLauf,,ISW,Iswid
172,,172,7,US 6773,KultLauf,,ISW,Iswid
173,,173,7,US 6803,KultLauf,,ISW,Iswid
174,,174,7,US 6810,Kult,,ISW,Iswid
175,,175,7,US 6827,KultLauf,,ISW,Iswid
176,,176,7,US 6854,KultLauf,,ISW,Iswid
177,,177,7,US 6863,KultLauf,,ISW,Iswid
178,,178,7,US 6875,KultLauf,,ISW,Iswid
179,,179,7,US 9036,Of,,ISW,Iswid
180,,180,7,US 9200,KultLauf,,ISW,Iswid
181,,181,7,US 9321,KultLauf,,ISW,Iswid
182,,182,7,US 9404_foyer 2093,KultLauf,,ISW,Iswid
183,,183,7,US 9519,KultLauf,,ISW,Iswid
184,,184,7,US 9859/9860,KultLauf,,ISW,Iswid
185,,185,7,US 9870_foyer2163,KultLauf,,ISW,Iswid
186,,186,7,US 9880_foyer 2166,KultLauf,,ISW,Iswid
