system_id,sample_id,feature_id,sample_group_id,sample_type_id,alt_ref_type_id,date_sampled,sample_name,Befu,EDatProb,ProbNr,ProbTyp,ProjektNr
65,,49,49,1,,2022-05-04,A5294,A5294,2022-05-04,19_0014_0022,Eim,19_0014
66,,50,50,1,,2022-05-04,A5307,A5307,2022-05-04,19_0014_0024,Eim,19_0014
67,,51,51,1,,2022-05-04,A5334,A5334,2022-05-04,19_0014_0063,Eim,19_0014
68,,52,52,1,,2022-05-04,A6041,A6041,2022-05-04,19_0014_0034,Eim,19_0014
69,,53,53,1,,2022-05-04,A6135,A6135,2022-05-04,19_0014_0015,Eim,19_0014
70,,54,54,1,,2022-05-04,A6146,A6146,2022-05-04,19_0014_0033,Eim,19_0014
71,,55,55,1,,2022-05-04,A6157,A6157,2022-05-04,19_0014_0035,Eim,19_0014
72,,56,56,1,,2022-05-04,A6178,A6178,2022-05-04,19_0014_0017,Eim,19_0014
73,,57,57,1,,2022-05-04,A6194,A6194,2022-05-04,19_0014_0025,Eim,19_0014
74,,58,58,1,,2022-05-04,A7199,A7199,2022-05-04,19_0014_0032,Eim,19_0014
75,,59,59,1,,2022-05-04,A7253,A7253,2022-05-04,19_0014_0014,Eim,19_0014
76,,60,60,1,,2022-05-04,A7263,A7263,2022-05-04,19_0014_0030,Eim,19_0014
77,,61,61,1,,2022-05-04,A7294,A7294,2022-05-04,19_0014_0013,Eim,19_0014
78,,62,62,1,,2022-05-04,A7306,A7306,2022-05-04,19_0014_0036,Eim,19_0014
79,,63,63,1,,2022-05-04,A785,A785,2022-05-04,19_0014_0043,Eim,19_0014
80,,64,64,1,,2022-05-04,A8079,A8079,2022-05-04,19_0014_0007,Eim,19_0014
81,,65,65,1,,2022-05-04,A8103,A8103,2022-05-04,19_0014_0009,Eim,19_0014
82,,66,66,1,,2022-05-04,A8114,A8114,2022-05-04,19_0014_0011,Eim,19_0014
83,,67,67,1,,2022-05-04,A8142,A8142,2022-05-04,19_0014_0026,Eim,19_0014
84,,68,68,1,,2022-05-04,A8178,A8178,2022-05-04,19_0014_0031,Eim,19_0014
85,,69,69,1,,2022-05-04,A8189,A8189,2022-05-04,19_0014_0012,Eim,19_0014
86,,70,70,1,,2022-05-04,A8234,A8234,2022-05-04,19_0014_0010,Eim,19_0014
87,,71,71,1,,2022-05-04,A9000,A9000,2022-05-04,19_0014_0027,Eim,19_0014
88,,72,72,1,,2022-05-04,A9052,A9052,2022-05-04,19_0014_0028,Eim,19_0014
89,,73,73,1,,2022-05-04,A9075,A9075,2022-05-04,19_0014_0003,Eim,19_0014
90,,74,74,1,,2022-05-04,A9111,A9111,2022-05-04,19_0014_0001,Eim,19_0014
91,,75,75,1,,2022-05-04,A9126,A9126,2022-05-04,19_0014_0004,Eim,19_0014
92,,76,76,1,,2022-05-04,A9199,A9199,2022-05-04,19_0014_0006,Eim,19_0014
93,,77,77,1,,2022-05-04,A957,A957,2022-05-04,19_0014_0064,Eim,19_0014
94,,78,78,1,,2022-05-04,A973,A973,2022-05-04,19_0014_0065,Eim,19_0014
95,,79,79,1,,2022-05-04,A9847,A9847,2022-05-04,19_0014_0002,Eim,19_0014
96,,80,80,1,,2023-04-18,11200,11200,2023-04-18,22_0005_0001,Eim,22_0005
97,,81,81,1,,2023-04-18,11201,11201,2023-04-18,22_0005_0002,Eim,22_0005
98,,82,82,1,,2023-04-18,11221,11221,2023-04-18,22_0005_0003,Eim,22_0005
99,,83,83,1,,2023-04-18,12026,12026,2023-04-18,22_0005_0004,Eim,22_0005
100,,84,84,1,,2023-04-18,200125,200125,2023-04-18,22_0005_0012,Eim,22_0005
101,,85,85,1,,2023-04-18,200149,200149,2023-04-18,22_0005_0013,Eim,22_0005
102,,86,86,1,,2023-04-18,200177,200177,2023-04-18,22_0005_0009,Eim,22_0005
103,,87,87,1,,2023-04-18,200473,200473,2023-04-18,22_0005_0005,Eim,22_0005
104,,88,88,1,,2023-04-18,200475,200475,2023-04-18,22_0005_0006,Eim,22_0005
105,,89,89,1,,2023-04-18,23362,23362,2023-04-18,22_0005_0010,Eim,22_0005
106,,90,90,1,,2023-04-18,23434,23434,2023-04-18,22_0005_0007,Eim,22_0005
107,,91,91,1,,2023-04-18,23491,23491,2023-04-18,22_0005_0008,Eim,22_0005
108,,92,92,1,,2023-04-18,23988,23988,2023-04-18,22_0005_0011,Eim,22_0005
109,,93,93,1,,2023-06-16,A2076,A2076,2023-06-16,22_0015_0017,Eim,22_0015
110,,94,94,1,,2023-06-16,A2154,A2154,2023-06-16,22_0015_0020,Eim,22_0015
111,,95,95,1,,2023-06-16,A2874 G2976,A2874 G2976,2023-06-16,22_0015_0014,Eim,22_0015
112,,96,96,1,,2023-06-16,A4796,A4796,2023-06-16,22_0015_0013,Eim,22_0015
113,,97,97,1,,2023-04-19,M153 St 1,M153 St 1,2023-04-19,22_0015_0006,Eim,22_0015
114,,98,98,1,,2023-04-19,M153 St 2,M153 St 2,2023-04-19,22_0015_0007,Eim,22_0015
115,,99,99,1,,2023-04-06,M160 St 1,M160 St 1,2023-04-06,22_0015_0001,Eim,22_0015
116,,100,100,1,,2023-04-19,M167 St 1,M167 St 1,2023-04-19,22_0015_0002,Eim,22_0015
117,,101,101,1,,2023-04-19,M167 St 2,M167 St 2,2023-04-19,22_0015_0003,Eim,22_0015
118,,102,102,1,,2023-04-19,M167 St 3,M167 St 3,2023-04-19,22_0015_0004,Eim,22_0015
119,,103,103,1,,2023-04-19,M167 St 4,M167 St 4,2023-04-19,22_0015_0005,Eim,22_0015
120,,104,104,1,,2023-06-16,M32 Undre del,M32 Undre del,2023-06-16,2022_0015_0009,Eim,22_0015
121,,105,105,1,,2023-06-16,M32 Övre del,M32 Övre del,2023-06-16,2022_0015_0008,Eim,22_0015
122,,106,106,1,,2023-06-16,M99 A5085,M99 A5085,2023-06-16,2022_0015_0010,Eim,22_0015
123,,106,106,1,,2023-06-16,M99 A5085,M99 A5085,2023-06-16,2022_0015_0012,Eim,22_0015
124,,107,107,1,,2021-11-16,31,31,2021-11-16,17 depth 0.10-0.20,Eim,DanaBunar2
125,,107,107,1,,2021-11-16,31,31,2021-11-16,17a depth 0.00-0.20,Eim,DanaBunar2
126,,108,108,1,,2021-11-16,32,32,2021-11-16,51 depth 0.00-0.10,Eim,DanaBunar2
127,,108,108,1,,2021-11-16,32,32,2021-11-16,52 depth 0.10-0.20,Eim,DanaBunar2
128,,108,108,1,,2021-11-16,32,32,2021-11-16,53 depth 0.00-0.10,Eim,DanaBunar2
129,,109,109,1,,2021-11-16,33,33,2021-11-16,18 depth 0.20-0.30,Eim,DanaBunar2
130,,109,109,1,,2021-11-16,33,33,2021-11-16,19 depth 0.00-0.10,Eim,DanaBunar2
131,,109,109,1,,2021-11-16,33,33,2021-11-16,20 depth 0.10-0.30,Eim,DanaBunar2
132,,109,109,1,,2021-11-16,33,33,2021-11-16,21 depth 0.30-0.40,Eim,DanaBunar2
133,,109,109,1,,2021-11-16,33,33,2021-11-16,22 depth 0.20-0.30,Eim,DanaBunar2
134,,110,110,1,,2021-11-16,37,37,2021-11-16,39 depth 0.10-0.20,Eim,DanaBunar2
135,,110,110,1,,2021-11-16,37,37,2021-11-16,40 depth 0.20-0.30,Eim,DanaBunar2
136,,110,110,1,,2021-11-16,37,37,2021-11-16,41 depth 0.00-0.10,Eim,DanaBunar2
137,,110,110,1,,2021-11-16,37,37,2021-11-16,42 depth 0.00-0.10,Eim,DanaBunar2
138,,111,111,1,,2021-11-16,38,38,2021-11-16,1 depth 0.48-0.58,Eim,DanaBunar2
139,,111,111,1,,2021-11-16,38,38,2021-11-16,2 depth 0.35-0.45,Eim,DanaBunar2
140,,111,111,1,,2021-11-16,38,38,2021-11-16,3 depth 0.35-0.45,Eim,DanaBunar2
141,,111,111,1,,2021-11-16,38,38,2021-11-16,4 depth 0.00-0.10,Eim,DanaBunar2
142,,111,111,1,,2021-11-16,38,38,2021-11-16,5 depth 0.30-0.50,Eim,DanaBunar2
143,,112,112,1,,2021-11-16,39,39,2021-11-16,47 depth 0.00-0.10,Eim,DanaBunar2
144,,112,112,1,,2021-11-16,39,39,2021-11-16,48 depth 0.10-0.20,Eim,DanaBunar2
145,,113,113,1,,2021-11-16,41,41,2021-11-16,44 depth 0.00-0.10,Eim,DanaBunar2
146,,113,113,1,,2021-11-16,41,41,2021-11-16,46 depth 0.30-0.40,Eim,DanaBunar2
147,,114,114,1,,2021-11-16,42,42,2021-11-16,10 depth 0.10-0.20,Eim,DanaBunar2
148,,114,114,1,,2021-11-16,42,42,2021-11-16,6 depth 0.00-0.10,Eim,DanaBunar2
149,,114,114,1,,2021-11-16,42,42,2021-11-16,7 depth 0.00-0.10,Eim,DanaBunar2
150,,114,114,1,,2021-11-16,42,42,2021-11-16,8 depth 0.10-0.20,Eim,DanaBunar2
151,,114,114,1,,2021-11-16,42,42,2021-11-16,9 depth 0.10-0.20,Eim,DanaBunar2
