sample_id,taxon_id,PCODE,ProjektNr,Befu,ProbNr,TaxAut,BNam
5,25,ALGLI,18_0025,P6,18_0025_0002,,Alnus glutinosa/incana
5,2,ALNU,18_0025,P6,18_0025_0002,Gaertn.,Alnus spec.
5,3,APIAC,18_0025,P6,18_0025_0002,,Apiaceae
5,4,ATRI,18_0025,P6,18_0025_0002,L.,Atriplex spec.
5,26,BITRI,18_0025,P6,18_0025_0002,L.,Bidens tripartita
5,35,CARE,18_0025,P6,18_0025_0002,,Carex spec.
5,6,CHALB,18_0025,P6,18_0025_0002,L.,Chenopodium album
5,8,GAIS,18_0025,P6,18_0025_0002,L.,Galeopsis spec.
5,9,GLHEH,18_0025,P6,18_0025_0002,L.,Glechoma hederacea
5,10,HELE,18_0025,P6,18_0025_0002,,Eleocharis
5,13,POLCO,18_0025,P6,18_0025_0002,(L.) A. Löve,Polygonum convolvulus
5,14,POLPE,18_0025,P6,18_0025_0002,L./L.,Polygonum lapathifolium/persicaria
5,15,PRPAD,18_0025,P6,18_0025_0002,L.,Prunus padus
5,16,RANU,18_0025,P6,18_0025_0002,L.,Ranunculus spec.
5,42,RUCRI,18_0025,P6,18_0025_0002,L.,Rumex crispus
5,17,RUIDA,18_0025,P6,18_0025_0002,L.,Rubus idaeus
5,32,SIDIO,18_0025,P6,18_0025_0002,(L.) Clairv.,Silene dioica
5,19,SOLA,18_0025,P6,18_0025_0002,L.,Solanum spec.
5,21,STGRA,18_0025,P6,18_0025_0002,L.,Stellaria graminea
5,24,URDIO,18_0025,P6,18_0025_0002,L.,Urtica dioica
6,43,AVSAT,19_0013,A11148,19_0013_0013,L.,Avena sativa
6,35,CARE,19_0013,A11148,19_0013_0013,,Carex spec.
6,44,CEREA,19_0013,A11148,19_0013_0013,,Cerealia indet.
6,6,CHALB,19_0013,A11148,19_0013_0013,L.,Chenopodium album
6,45,GASPU,19_0013,A11148,19_0013_0013,L.,Galium spurium
6,46,HODIV,19_0013,A11148,19_0013_0013,L./L.,Hordeum distichon/vulgare
6,47,HODVN,19_0013,A11148,19_0013_0013,,Hordeum distichon/vulgare Nacktgerste
6,48,HODVS,19_0013,A11148,19_0013_0013,,Hordeum distichon/vulgare Spelzgerste
6,36,INDET,19_0013,A11148,19_0013_0013,,Indeterminata
6,49,LAMI,19_0013,A11148,19_0013_0013,L.,Lamium spec.
6,50,POLAP,19_0013,A11148,19_0013_0013,L.,Polygonum lapathifolium agg.
6,13,POLCO,19_0013,A11148,19_0013_0013,(L.) A. Löve,Polygonum convolvulus
6,18,SILE,19_0013,A11148,19_0013_0013,L.,Silene spec.
6,20,SPARV,19_0013,A11148,19_0013_0013,L.,Spergula arvensis
6,21,STGRA,19_0013,A11148,19_0013_0013,L.,Stellaria graminea
6,22,STMES,19_0013,A11148,19_0013_0013,,Stellaria media
7,43,AVSAT,19_0013,A11148,19_0013_0014,L.,Avena sativa
7,35,CARE,19_0013,A11148,19_0013_0014,,Carex spec.
7,51,CATRI,19_0013,A11148,19_0013_0014,,Carex spec. tricarpellat
7,44,CEREA,19_0013,A11148,19_0013_0014,,Cerealia indet.
7,6,CHALB,19_0013,A11148,19_0013_0014,L.,Chenopodium album
7,27,COAVE,19_0013,A11148,19_0013_0014,L.,Corylus avellana
7,8,GAIS,19_0013,A11148,19_0013_0014,L.,Galeopsis spec.
7,45,GASPU,19_0013,A11148,19_0013_0014,L.,Galium spurium
7,47,HODVN,19_0013,A11148,19_0013_0014,,Hordeum distichon/vulgare Nacktgerste
7,48,HODVS,19_0013,A11148,19_0013_0014,,Hordeum distichon/vulgare Spelzgerste
7,36,INDET,19_0013,A11148,19_0013_0014,,Indeterminata
7,52,POACE,19_0013,A11148,19_0013_0014,,Poaceae
7,50,POLAP,19_0013,A11148,19_0013_0014,L.,Polygonum lapathifolium agg.
7,13,POLCO,19_0013,A11148,19_0013_0014,(L.) A. Löve,Polygonum convolvulus
7,42,RUCRI,19_0013,A11148,19_0013_0014,L.,Rumex crispus
7,53,RUMAC,19_0013,A11148,19_0013_0014,,Rumex acetosella agg.
7,20,SPARV,19_0013,A11148,19_0013_0014,L.,Spergula arvensis
7,21,STGRA,19_0013,A11148,19_0013_0014,L.,Stellaria graminea
7,22,STMES,19_0013,A11148,19_0013_0014,,Stellaria media
7,54,THARV,19_0013,A11148,19_0013_0014,L.,Thlaspi arvense
8,44,CEREA,19_0013,A11148,19_0013_0015,,Cerealia indet.
8,6,CHALB,19_0013,A11148,19_0013_0015,L.,Chenopodium album
8,36,INDET,19_0013,A11148,19_0013_0015,,Indeterminata
8,36,INDET,19_0013,A11148,19_0013_0015,,Indeterminata
8,50,POLAP,19_0013,A11148,19_0013_0015,L.,Polygonum lapathifolium agg.
8,13,POLCO,19_0013,A11148,19_0013_0015,(L.) A. Löve,Polygonum convolvulus
8,20,SPARV,19_0013,A11148,19_0013_0015,L.,Spergula arvensis
8,22,STMES,19_0013,A11148,19_0013_0015,,Stellaria media
9,35,CARE,19_0013,A11148,19_0013_0020,,Carex spec.
9,44,CEREA,19_0013,A11148,19_0013_0020,,Cerealia indet.
9,6,CHALB,19_0013,A11148,19_0013_0020,L.,Chenopodium album
9,8,GAIS,19_0013,A11148,19_0013_0020,L.,Galeopsis spec.
9,55,GALI,19_0013,A11148,19_0013_0020,L.,Galium spec.
9,52,POACE,19_0013,A11148,19_0013_0020,,Poaceae
9,50,POLAP,19_0013,A11148,19_0013_0020,L.,Polygonum lapathifolium agg.
9,13,POLCO,19_0013,A11148,19_0013_0020,(L.) A. Löve,Polygonum convolvulus
