system_id,sample_cultural_group_id,cultural_group_id,sample_id,Befu,KultGr,ProbNr,ProjektNr
99,,1,99,12026,nicht gewählt,22_0005_0004,22_0005
100,,1,100,200125,nicht gewählt,22_0005_0012,22_0005
101,,1,101,200149,nicht gewählt,22_0005_0013,22_0005
102,,1,102,200177,nicht gewählt,22_0005_0009,22_0005
103,,1,103,200473,nicht gewählt,22_0005_0005,22_0005
104,,1,104,200475,nicht gewählt,22_0005_0006,22_0005
105,,1,105,23362,nicht gewählt,22_0005_0010,22_0005
106,,1,106,23434,nicht gewählt,22_0005_0007,22_0005
107,,1,107,23491,nicht gewählt,22_0005_0008,22_0005
108,,1,108,23988,nicht gewählt,22_0005_0011,22_0005
109,,2,109,A2076,,22_0015_0017,22_0015
110,,2,110,A2154,,22_0015_0020,22_0015
111,,2,111,A2874 G2976,,22_0015_0014,22_0015
112,,2,112,A4796,,22_0015_0013,22_0015
113,,2,113,M153 St 1,,22_0015_0006,22_0015
114,,2,114,M153 St 2,,22_0015_0007,22_0015
115,,2,115,M160 St 1,,22_0015_0001,22_0015
116,,2,116,M167 St 1,,22_0015_0002,22_0015
117,,2,117,M167 St 2,,22_0015_0003,22_0015
118,,2,118,M167 St 3,,22_0015_0004,22_0015
119,,2,119,M167 St 4,,22_0015_0005,22_0015
120,,2,120,M32 Undre del,,2022_0015_0009,22_0015
121,,2,121,M32 Övre del,,2022_0015_0008,22_0015
122,,2,122,M99 A5085,,2022_0015_0010,22_0015
123,,2,123,M99 A5085,,2022_0015_0012,22_0015
124,,1,124,31,nicht gewählt,17 depth 0.10-0.20,DanaBunar2
125,,1,125,31,nicht gewählt,17a depth 0.00-0.20,DanaBunar2
126,,1,126,32,nicht gewählt,51 depth 0.00-0.10,DanaBunar2
127,,1,127,32,nicht gewählt,52 depth 0.10-0.20,DanaBunar2
128,,1,128,32,nicht gewählt,53 depth 0.00-0.10,DanaBunar2
129,,1,129,33,nicht gewählt,18 depth 0.20-0.30,DanaBunar2
130,,1,130,33,nicht gewählt,19 depth 0.00-0.10,DanaBunar2
131,,1,131,33,nicht gewählt,20 depth 0.10-0.30,DanaBunar2
132,,1,132,33,nicht gewählt,21 depth 0.30-0.40,DanaBunar2
133,,1,133,33,nicht gewählt,22 depth 0.20-0.30,DanaBunar2
134,,1,134,37,nicht gewählt,39 depth 0.10-0.20,DanaBunar2
135,,1,135,37,nicht gewählt,40 depth 0.20-0.30,DanaBunar2
136,,1,136,37,nicht gewählt,41 depth 0.00-0.10,DanaBunar2
137,,1,137,37,nicht gewählt,42 depth 0.00-0.10,DanaBunar2
138,,1,138,38,nicht gewählt,1 depth 0.48-0.58,DanaBunar2
139,,1,139,38,nicht gewählt,2 depth 0.35-0.45,DanaBunar2
140,,1,140,38,nicht gewählt,3 depth 0.35-0.45,DanaBunar2
