system_id,result_id,Befu,Zustand,ProbNr,cf,ProjektNr,RTyp,PCODE,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,geschätzt
54,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,POLPE,47.0,0.0,0.0,47,sf,
55,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,RANU,3.0,0.0,0.0,3,sf,
56,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,RUIDA,19.0,0.0,0.0,19,sf,
57,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,SCSIL,3.0,0.0,0.0,3,sf,
58,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,SIDIO,10.0,0.0,0.0,10,sf,
59,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,SOLA,12.0,0.0,0.0,12,sf,
60,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,SPAR,2.0,0.0,0.0,2,sf,
61,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,STGRA,37.0,0.0,0.0,37,sf,
62,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,STMES,4.0,0.0,0.0,4,sf,
63,,P20,waterlogged,18_0025_0005,-,18_0025,Sa/Fr,TOJAP,2.0,0.0,0.0,2,sf,
64,,P5,charred,18_0025_0001,-,18_0025,Ho,ALNU,2.0,0.0,0.0,2,vk,
65,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,ATRI,20.0,0.0,0.0,20,sf,
66,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,BETU,1.0,0.0,0.0,1,sf,
67,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,BITRI,2.0,0.0,0.0,2,sf,
68,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,CHALB,40.0,0.0,0.0,40,sf,
69,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,COAVE,100.0,0.0,0.0,100,sf,
70,,P5,charred,18_0025_0001,-,18_0025,Ho,FRAX,1.0,0.0,0.0,1,vk,
71,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,GAIS,8.0,0.0,0.0,8,sf,
72,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,HELE,5.0,0.0,0.0,5,sf,
73,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,INDET,4.0,0.0,0.0,4,sf,
74,,P5,charred,18_0025_0001,-,18_0025,Ho,PINU,3.0,0.0,0.0,3,vk,
75,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,PLMAJ,1.0,0.0,0.0,1,sf,
76,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,POAVI,5.0,0.0,0.0,5,sf,
77,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,POLCO,2.0,0.0,0.0,2,sf,
78,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,POLPE,3.0,0.0,0.0,3,sf,
79,,P5,charred,18_0025_0001,G,18_0025,Ho,PRUN,1.0,0.0,0.0,1,vk,
80,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,RANU,1.0,0.0,0.0,1,sf,
81,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,RUIDA,2.0,0.0,0.0,2,sf,
82,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,SOLA,2.0,0.0,0.0,2,sf,
83,,P5,waterlogged,18_0025_0001,-,18_0025,Sa/Fr,STMES,2.0,0.0,0.0,2,sf,
84,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,ALGLI,4.0,0.0,0.0,4,sf,
85,,P6,waterlogged,18_0025_0002,-,18_0025,Ho,ALNU,2.0,0.0,0.0,2,sf,
86,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,APIAC,2.0,0.0,0.0,2,sf,
87,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,ATRI,8.0,0.0,0.0,8,sf,
88,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,BITRI,1.0,0.0,0.0,1,sf,
