system_id,result_id,Befu,PCODE,ProbNr,ProjektNr,RTyp,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,cf,geschätzt,method_indicator,method_type
51,,P20,INDET,18_0025_0005,18_0025,Sa/Fr,18.0,0.0,0.0,18,sf,-,,,"ORG2,0"
52,,P20,POAVI,18_0025_0005,18_0025,Sa/Fr,8.0,0.0,0.0,8,sf,-,,,"ORG2,0"
53,,P20,POLCO,18_0025_0005,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
54,,P20,POLPE,18_0025_0005,18_0025,Sa/Fr,47.0,0.0,0.0,47,sf,-,,,"ORG2,0"
55,,P20,RANU,18_0025_0005,18_0025,Sa/Fr,3.0,0.0,0.0,3,sf,-,,,"ORG2,0"
56,,P20,RUIDA,18_0025_0005,18_0025,Sa/Fr,19.0,0.0,0.0,19,sf,-,,,"ORG2,0"
57,,P20,SCSIL,18_0025_0005,18_0025,Sa/Fr,3.0,0.0,0.0,3,sf,-,,,"ORG2,0"
58,,P20,SIDIO,18_0025_0005,18_0025,Sa/Fr,10.0,0.0,0.0,10,sf,-,,,"ORG2,0"
59,,P20,SOLA,18_0025_0005,18_0025,Sa/Fr,12.0,0.0,0.0,12,sf,-,,,"ORG2,0"
60,,P20,SPAR,18_0025_0005,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
61,,P20,STGRA,18_0025_0005,18_0025,Sa/Fr,37.0,0.0,0.0,37,sf,-,,,"ORG2,0"
62,,P20,STMES,18_0025_0005,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
63,,P20,TOJAP,18_0025_0005,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
64,,P5,ALNU,18_0025_0001,18_0025,Ho,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
65,,P5,ATRI,18_0025_0001,18_0025,Sa/Fr,20.0,0.0,0.0,20,sf,-,,,"ORG2,0"
66,,P5,BETU,18_0025_0001,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
67,,P5,BITRI,18_0025_0001,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
68,,P5,CHALB,18_0025_0001,18_0025,Sa/Fr,40.0,0.0,0.0,40,sf,-,,,"ORG2,0"
69,,P5,COAVE,18_0025_0001,18_0025,Sa/Fr,100.0,0.0,0.0,100,sf,-,,,"ORG2,0"
70,,P5,FRAX,18_0025_0001,18_0025,Ho,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
71,,P5,GAIS,18_0025_0001,18_0025,Sa/Fr,8.0,0.0,0.0,8,sf,-,,,"ORG2,0"
72,,P5,HELE,18_0025_0001,18_0025,Sa/Fr,5.0,0.0,0.0,5,sf,-,,,"ORG2,0"
73,,P5,INDET,18_0025_0001,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
74,,P5,PINU,18_0025_0001,18_0025,Ho,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
75,,P5,PLMAJ,18_0025_0001,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
76,,P5,POAVI,18_0025_0001,18_0025,Sa/Fr,5.0,0.0,0.0,5,sf,-,,,"ORG2,0"
77,,P5,POLCO,18_0025_0001,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
78,,P5,POLPE,18_0025_0001,18_0025,Sa/Fr,3.0,0.0,0.0,3,sf,-,,,"ORG2,0"
79,,P5,PRUN,18_0025_0001,18_0025,Ho,1.0,0.0,0.0,1,vk,G,,,"ORG2,0"
80,,P5,RANU,18_0025_0001,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
81,,P5,RUIDA,18_0025_0001,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
82,,P5,SOLA,18_0025_0001,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
83,,P5,STMES,18_0025_0001,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
84,,P6,ALGLI,18_0025_0002,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
85,,P6,ALNU,18_0025_0002,18_0025,Ho,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
86,,P6,APIAC,18_0025_0002,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
