system_id,taxon_id,author_id,genus_id,species,system_id,Achtung,BNam,Familie,Name D,Name_E,Name_F,Name_I,PCODE,S_Od,TaxAut
144,,0,0,Bnam,144,,Chenopodium rubrum,Chenopodiaceae,Roter Gänsefuß,Red Goosefoot,Chénopode rouge,Farinello rosso,CHRUB,346,L.
145,,0,0,Bnam,145,,Echinochloa crus-galli,Poaceae,Hühnerhirse,Cockspur,Echinochloa pied de coq,Giavone comune,ECCRU,265,(L.) P. Beauv.
146,,0,0,Bnam,146,,Buglossoides arvensis,Boraginaceae,Acker-Steinsame,,Grémil des champs,Erba-perla minore,LITAR,779,(L.) I. M. Johnst.
147,,0,0,Bnam,147,,Malva spec.,Malvaceae,Malve,,,,MALV,658,L.
148,,0,0,Bnam,148,,Vicia ervilia,Fabaceae,Linsen-Wicke,Ervil,Vesce ervilia,Veccia capogirlo,VIERV,609,(L.) Willd.
149,,0,0,Bnam,149,,Cucumis melo/sativus,Cucurbitaceae,,,,,CUMSA,679,L./L.
150,,0,0,Bnam,150,,Lathyrus cicera/sativus,Fabaceae,Kicher-/Saat-Platterbse,,,,LACIS,619/620,L./L.
151,,0,0,Bnam,151,,Lamiaceae,Lamiaceae,Lippenblütler,,,,LABIA,791,
152,,0,0,Bnam,152,,Setaria italica,Poaceae,Kolbenhirse,Foxtail Bristle-grass,Sétaire d'Italie,Pabbio coltivato,SEITA,267,(L.) P. Beauv.
153,,0,0,Bnam,153,,Medicago,,,,,,MEDI,,
154,,0,0,Bnam,154,,Lallemantia iberica,,,,,,Laleib,,
155,,0,0,Bnam,155,,Salvia spec.,Labiatae,Salbei,,,,SALV,808,L.
156,,0,0,Bnam,156,,Schoenoplectus spec.,Cyperaceae,Teichbinse,,,,SCHO,160,(Rchb.) Palla
157,,0,0,Bnam,157,,Setaria pumila,Poaceae,Rote Borstenhirse,Yellow Bristle-grass,Sétaire glauque,Pabbio rossastro,SEGLA,266,(Poir.) Roem. & Schult.
158,,0,0,Bnam,158,,Setaria spec.,Poaceae,Borstenhirse,,,,SETA,266,P.B.
159,,0,0,Bnam,159,,Hordeum vulgare undiff.,Poaceae,"Kulturgerste, mehrzeilig",,,,HOVUL,237,L.
160,,0,0,Bnam,160,,Lolium temulentum,Poaceae,Taumel-Lolch,Darnel,Ivraie enivrante,Loglio ubriacante,LOTEM,230,L.
161,,0,0,Bnam,161,,Phalaris minor,,,,,,Phami,,
162,,0,0,Bnam,162,,Lolium spec.,Poaceae,Lolch,,,,LOLI,230,
163,,0,0,Bnam,163,,Phalaris,,,,,,PHAL,,
164,,0,0,Bnam,164,,Polypogon,,,,,,Polypo,,
165,,0,0,Bnam,165,,Acacia sp.,,,,,,ACAC,,
166,,0,0,Bnam,166,,Angiospermae Monocotyledonae,,,,,,ANGMO,,
167,,0,0,Bnam,167,,Cyperus,,,,,,CYPE,,
168,,0,0,Bnam,168,,Cyperaceae,Cyperaceae,Sauergräser,,,,CYPER,155,
169,,0,0,Bnam,169,,Phragmites,,,,,,PHRA,,
170,,0,0,Bnam,170,,Rumex crispus/dentatus,,,,,,Rucrden,,
171,,0,0,Bnam,171,,Solanaceae,Nachtschattengewächse,Nachtschattengewächse,,,,SOLAN,818,
172,,0,0,Bnam,172,,Tamarix,Tamaricaceae,,,,,TAMA,,
173,,0,0,Bnam,173,cf,Cucumis melo,Cucurbitaceae,Zucker-Melone,,,,CUMEL,679,L.
174,,0,0,Bnam,174,,Hordeum vulgare Spelzgerste,Poaceae,"Spelzgerste, mehrzeilig",,,,HOVUS,236,
175,,0,0,Bnam,175,#,Vicia klein-früchtig,,,,,,VICKF,,
176,,0,0,Bnam,176,,Fabaceae (kult.),Fabaceae,Hülsenfrüchte,,,,FABAK,576,
177,,0,0,Bnam,177,,Lathyrus hirsutus/Vicia (klien),,,,,,LahVi,,
178,,0,0,Bnam,178,,Cyperus rotundus,,,Purple Nutsedge,Souchet rond,Zigolo infestante,CYROT,,L.
179,,0,0,Bnam,179,,Hordeum vulgare 4-zeilig,Poaceae,"Gerste, 4-zeilig",,,,HORD4,237,
180,,0,0,Bnam,180,,Polygonum spec.,Polygonaceae,Knöterich,Knotweed,Renouée,Poligono,POGO,332,L.
181,,0,0,Bnam,181,,Vicia hirsuta/tetrasperma,Fabaceae,Rauhhaarige/Viersamige Wicke,,,,VIHIT,610/610,(L.)S.F.Gray/(L.)Schreb
182,,0,0,Bnam,182,,Isolepis,,,,,,ISOL,,
183,,0,0,Bnam,183,,Bolboschoenus,Cyperaceae,,,,,BOLB,,
184,,0,0,Bnam,184,,Lathyrus hirsutus,Fabaceae,,Hairy Vetchling,Gesse hérissée,Cicerchia pelosa,LAHIR,,L.
185,,0,0,Bnam,185,,Ficus sycomorus,,,,,,Fisyc,,
186,,0,0,Bnam,186,,Anthemis pseudocotula,Asteraceae,,,,,Anpse,,Boiss.
187,,0,0,Bnam,187,#,Coronupus niloticus,,,,,,Cornilot,,
188,,0,0,Bnam,188,,Glinus lotoides,,,,,,Glilot,,
189,,0,0,Bnam,189,,Hordeum spec.,Poaceae,Gerste undiff.,,,,HORD,235,
190,,0,0,Bnam,190,,Lithospermum/Buglossoides spec.,Boraginaceae,Steinsame,,,,LITH,779,L.
191,,0,0,Bnam,191,,Aeluropus lithoralis,,,,,,Aelur,,
192,,0,0,Bnam,192,,Anethum graveolens,Apiaceae,Dill,Dill,Aneth odorant,Aneto puzzolente,ANGRA,716,L.
193,,0,0,Bnam,193,,Ficus sp.,,,,,,Ficus,,
194,,0,0,Bnam,194,,Fimbristylis,,,,,,FIMB,,
195,,0,0,Bnam,195,,Oryzopsis milliaceum,,,,,,Oryzm,,
196,,0,0,Bnam,196,,Persicaria lanigera/lapatifolia,,,,,,Pelaplan,,
197,,0,0,Bnam,197,,Scorpiurus sp.,,,,,,SCORP,,
198,,0,0,Bnam,198,,Brassicaceae,Brassicaceae,Kreuzblütler,,,,BRASS,431,
199,,0,0,Bnam,199,,Origanum,,,,,,ORIG,,
200,,0,0,Bnam,200,,Ornithogalum,,,,,,ORNI,,
201,,0,0,Bnam,201,,Hippuris vulgaris,Hippuridaceae,,Mare's-tail,Pesse vulgaire,Coda di cavallo,HIVUL,,L.
202,,0,0,Bnam,202,,Ziziphus jujuba,,,,,,ZIJUJ,,Mill.
203,,0,0,Bnam,203,,Digitaria spec.,Poaceae,Fingergras,,,,DIGI,265,Haller
204,,0,0,Bnam,204,,Echinochloa/Setaria,Poaceae,Hühnerhirse/Borstenhirse,,,,ECHSE,265/266,P. B./P. B.
205,,0,0,Bnam,205,,Medicago/Trifolium,Fabaceae,Hopfenklee/Klee,,,,MEDTR,588/589,L./L.
206,,0,0,Bnam,206,,Vicia tetrasperma,Fabaceae,Viersamige Wicke,Smooth Tare,Vesce à quatre graines,Veccia a quattro semi,VITET,610,(L.) Schreb.
207,,0,0,Bnam,207,,Pulicaria,,,,,,PULI,,
208,,0,0,Bnam,208,,Arnebia,Boraginaceae,,,,,ARNE,,
209,,0,0,Bnam,209,,Chenopodiaceae,Chenopodiaceae,Gänsefußgewächse,,,,CHENO,339,
210,,0,0,Bnam,210,,Sherardia,,,,,,SHER,,
211,,0,0,Bnam,211,,Panicoideae,Poaceae,Hirseartige,,,,PANIC,264/265,R. Br.
212,,0,0,Bnam,212,,Linum spec.,Linaceae,Lein,,,,LINU,630,L.
213,,0,0,Bnam,213,,Juncus spec.,Juncaceae,Binse,Rush,Scirpe,Biodo,JUNC,144,L.
214,,0,0,Bnam,214,,Portulaca,,,,,,PORT,,
215,,0,0,Bnam,215,,Anthemis cotula,Asteraceae,Stinkende Hundskamille,Stinking Chamomile,Anthémis fétide,Camomilla fetida,ANCOT,932,L.
216,,0,0,Bnam,216,,Ammi visnaga,Apiaceae,,Toothpick-plant,,,AMVIS,,Lam.
