sample_id,taxon_id,BNam,Befu,PCODE,ProbNr,ProjektNr,TaxAut
5,25,Alnus glutinosa/incana,P6,ALGLI,18_0025_0002,18_0025,
5,2,Alnus spec.,P6,ALNU,18_0025_0002,18_0025,Gaertn.
5,3,Apiaceae,P6,APIAC,18_0025_0002,18_0025,
5,4,Atriplex spec.,P6,ATRI,18_0025_0002,18_0025,L.
5,26,Bidens tripartita,P6,BITRI,18_0025_0002,18_0025,L.
5,35,Carex spec.,P6,CARE,18_0025_0002,18_0025,
5,6,Chenopodium album,P6,CHALB,18_0025_0002,18_0025,L.
5,8,Galeopsis spec.,P6,GAIS,18_0025_0002,18_0025,L.
5,9,Glechoma hederacea,P6,GLHEH,18_0025_0002,18_0025,L.
5,10,Eleocharis,P6,HELE,18_0025_0002,18_0025,
5,13,Polygonum convolvulus,P6,POLCO,18_0025_0002,18_0025,(L.) A. Löve
5,14,Polygonum lapathifolium/persicaria,P6,POLPE,18_0025_0002,18_0025,L./L.
5,15,Prunus padus,P6,PRPAD,18_0025_0002,18_0025,L.
5,16,Ranunculus spec.,P6,RANU,18_0025_0002,18_0025,L.
5,42,Rumex crispus,P6,RUCRI,18_0025_0002,18_0025,L.
5,17,Rubus idaeus,P6,RUIDA,18_0025_0002,18_0025,L.
5,32,Silene dioica,P6,SIDIO,18_0025_0002,18_0025,(L.) Clairv.
5,19,Solanum spec.,P6,SOLA,18_0025_0002,18_0025,L.
5,21,Stellaria graminea,P6,STGRA,18_0025_0002,18_0025,L.
5,24,Urtica dioica,P6,URDIO,18_0025_0002,18_0025,L.
6,43,Avena sativa,A11148,AVSAT,19_0013_0013,19_0013,L.
6,35,Carex spec.,A11148,CARE,19_0013_0013,19_0013,
6,44,Cerealia indet.,A11148,CEREA,19_0013_0013,19_0013,
6,6,Chenopodium album,A11148,CHALB,19_0013_0013,19_0013,L.
6,45,Galium spurium,A11148,GASPU,19_0013_0013,19_0013,L.
6,46,Hordeum distichon/vulgare,A11148,HODIV,19_0013_0013,19_0013,L./L.
6,47,Hordeum distichon/vulgare Nacktgerste,A11148,HODVN,19_0013_0013,19_0013,
6,48,Hordeum distichon/vulgare Spelzgerste,A11148,HODVS,19_0013_0013,19_0013,
