system_id,sample_sample_type_id,sample_id,sample_type_id,description,type_name,Befu,ProbNr,ProbTyp,ProjektNr
96,,96,1,,Eim,11200,22_0005_0001,Eim,22_0005
97,,97,1,,Eim,11201,22_0005_0002,Eim,22_0005
98,,98,1,,Eim,11221,22_0005_0003,Eim,22_0005
99,,99,1,,Eim,12026,22_0005_0004,Eim,22_0005
100,,100,1,,Eim,200125,22_0005_0012,Eim,22_0005
101,,101,1,,Eim,200149,22_0005_0013,Eim,22_0005
102,,102,1,,Eim,200177,22_0005_0009,Eim,22_0005
103,,103,1,,Eim,200473,22_0005_0005,Eim,22_0005
104,,104,1,,Eim,200475,22_0005_0006,Eim,22_0005
105,,105,1,,Eim,23362,22_0005_0010,Eim,22_0005
106,,106,1,,Eim,23434,22_0005_0007,Eim,22_0005
107,,107,1,,Eim,23491,22_0005_0008,Eim,22_0005
108,,108,1,,Eim,23988,22_0005_0011,Eim,22_0005
109,,109,1,,Eim,A2076,22_0015_0017,Eim,22_0015
110,,110,1,,Eim,A2154,22_0015_0020,Eim,22_0015
111,,111,1,,Eim,A2874 G2976,22_0015_0014,Eim,22_0015
112,,112,1,,Eim,A4796,22_0015_0013,Eim,22_0015
113,,113,1,,Eim,M153 St 1,22_0015_0006,Eim,22_0015
114,,114,1,,Eim,M153 St 2,22_0015_0007,Eim,22_0015
115,,115,1,,Eim,M160 St 1,22_0015_0001,Eim,22_0015
116,,116,1,,Eim,M167 St 1,22_0015_0002,Eim,22_0015
117,,117,1,,Eim,M167 St 2,22_0015_0003,Eim,22_0015
118,,118,1,,Eim,M167 St 3,22_0015_0004,Eim,22_0015
119,,119,1,,Eim,M167 St 4,22_0015_0005,Eim,22_0015
120,,120,1,,Eim,M32 Undre del,2022_0015_0009,Eim,22_0015
121,,121,1,,Eim,M32 Övre del,2022_0015_0008,Eim,22_0015
122,,122,1,,Eim,M99 A5085,2022_0015_0010,Eim,22_0015
123,,123,1,,Eim,M99 A5085,2022_0015_0012,Eim,22_0015
124,,124,1,,Eim,31,17 depth 0.10-0.20,Eim,DanaBunar2
125,,125,1,,Eim,31,17a depth 0.00-0.20,Eim,DanaBunar2
126,,126,1,,Eim,32,51 depth 0.00-0.10,Eim,DanaBunar2
127,,127,1,,Eim,32,52 depth 0.10-0.20,Eim,DanaBunar2
128,,128,1,,Eim,32,53 depth 0.00-0.10,Eim,DanaBunar2
129,,129,1,,Eim,33,18 depth 0.20-0.30,Eim,DanaBunar2
130,,130,1,,Eim,33,19 depth 0.00-0.10,Eim,DanaBunar2
131,,131,1,,Eim,33,20 depth 0.10-0.30,Eim,DanaBunar2
132,,132,1,,Eim,33,21 depth 0.30-0.40,Eim,DanaBunar2
133,,133,1,,Eim,33,22 depth 0.20-0.30,Eim,DanaBunar2
134,,134,1,,Eim,37,39 depth 0.10-0.20,Eim,DanaBunar2
135,,135,1,,Eim,37,40 depth 0.20-0.30,Eim,DanaBunar2
136,,136,1,,Eim,37,41 depth 0.00-0.10,Eim,DanaBunar2
137,,137,1,,Eim,37,42 depth 0.00-0.10,Eim,DanaBunar2
138,,138,1,,Eim,38,1 depth 0.48-0.58,Eim,DanaBunar2
139,,139,1,,Eim,38,2 depth 0.35-0.45,Eim,DanaBunar2
140,,140,1,,Eim,38,3 depth 0.35-0.45,Eim,DanaBunar2
141,,141,1,,Eim,38,4 depth 0.00-0.10,Eim,DanaBunar2
142,,142,1,,Eim,38,5 depth 0.30-0.50,Eim,DanaBunar2
143,,143,1,,Eim,39,47 depth 0.00-0.10,Eim,DanaBunar2
144,,144,1,,Eim,39,48 depth 0.10-0.20,Eim,DanaBunar2
145,,145,1,,Eim,41,44 depth 0.00-0.10,Eim,DanaBunar2
146,,146,1,,Eim,41,46 depth 0.30-0.40,Eim,DanaBunar2
147,,147,1,,Eim,42,10 depth 0.10-0.20,Eim,DanaBunar2
